Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
HBASE-8712,https://issues.apache.org/jira/browse/HBASE-8712,HFileLinkCleaner (FSUtils.listStatus) logs too much if links do not exists,Closed,Major,['0.95.1'],07/Jun/13 22:30,3,f8a2ae41; a0ea51a9; 0ef072f6,https://github.com/apache/hbase/commit/f8a2ae4199aeceb8d8ae6c9c63119163446bca3a; https://github.com/apache/hbase/commit/a0ea51a96ee33842ef392dc45379455540906233; https://github.com/apache/hbase/commit/0ef072f61c0b4d4511be92c5f5a6fc667b6261d5
HBASE-8711,https://issues.apache.org/jira/browse/HBASE-8711,Requests count is completely off,Closed,Major,['0.95.1'],07/Jun/13 22:18,2,7cb75d86; b5e3c808,https://github.com/apache/hbase/commit/7cb75d865ebd11f95ac51081e1ffe4f5b6de74c2; https://github.com/apache/hbase/commit/b5e3c808b64cfc6b33eadbf5207fe145ef099f0e
HBASE-7442,https://issues.apache.org/jira/browse/HBASE-7442,HBase remote CopyTable not working when security enabled,Closed,Major,['0.92.1'],27/Dec/12 15:57,4,d45cbcac; a044a826; 36079098; 09455941,https://github.com/apache/hbase/commit/d45cbcac1afe8b8440b1d9bf946892edb5765ef2; https://github.com/apache/hbase/commit/a044a8265074ac8c29f84dfac510373fc8bc009a; https://github.com/apache/hbase/commit/36079098313ae83721b9f3d07e525175cdd378a4; https://github.com/apache/hbase/commit/094559414731c9206eb95f69c9667122abff29e4
HBASE-6318,https://issues.apache.org/jira/browse/HBASE-6318,SplitLogWorker exited due to ConcurrentModificationException,Closed,Major,['0.95.2'],03/Jul/12 20:42,3,2c48f282; ff5e58b3; 4fc9a9fe,https://github.com/apache/hbase/commit/2c48f2823933d96a67a82832a4cc4022da3b34a0; https://github.com/apache/hbase/commit/ff5e58b3ec096e3af25c55b6399a76e44b5d12fd; https://github.com/apache/hbase/commit/4fc9a9fe5ab311a771c55dd8ca85d57859ae8951
HBASE-5780,https://issues.apache.org/jira/browse/HBASE-5780,Fix race in HBase regionserver startup vs ZK SASL authentication,Closed,Major,"['0.92.1', '0.94.0']",13/Apr/12 02:18,5,6858d30b; 671484f0; ee5f4686; 7ffa120a; ad6e5764,https://github.com/apache/hbase/commit/6858d30b13fcd135dd57cec94d0d4349ad56388d; https://github.com/apache/hbase/commit/671484f04496f54ac361cf4e06f1d5c05ca43c12; https://github.com/apache/hbase/commit/ee5f4686456e9ab2b82bb8f1cadf5874afce5eae; https://github.com/apache/hbase/commit/7ffa120a8bdcb18173dc315358e001d884bb0bf9; https://github.com/apache/hbase/commit/ad6e57645fb804a8746d155b5596a7fa3af8ed49
HBASE-5606,https://issues.apache.org/jira/browse/HBASE-5606,SplitLogManger async delete node hangs log splitting when ZK connection is lost ,Closed,Critical,['0.92.0'],21/Mar/12 04:27,4,5e07b71e; 92fef695; 61250553; 38eeb595,https://github.com/apache/hbase/commit/5e07b71ed6d1c22859b26ff4ceb7095448050b4e; https://github.com/apache/hbase/commit/92fef695092b28d66b90e7e7c7947f28d78b5f59; https://github.com/apache/hbase/commit/61250553ceccde31925c2126fce9c518fc9f05fc; https://github.com/apache/hbase/commit/38eeb595761f8ec4f3e06f880c5773957e231b8c
HBASE-5099,https://issues.apache.org/jira/browse/HBASE-5099,ZK event thread waiting for root region assignment may block server shutdown handler for the region sever the root region was on,Closed,Major,"['0.92.0', '0.94.0']",27/Dec/11 23:23,5,a2471aa2; 0afb241d; f4b654a0; a1833a68; 87b977df,https://github.com/apache/hbase/commit/a2471aa2559ad524aaf89fd7c4c9b0152fcdd33f; https://github.com/apache/hbase/commit/0afb241d4e44a7b479431be5fe2170905fc079f8; https://github.com/apache/hbase/commit/f4b654a092d2966baa11b96d76bf7d9d3fd4ab08; https://github.com/apache/hbase/commit/a1833a68726e829bae00a50ddcd63e81ab7dff17; https://github.com/apache/hbase/commit/87b977dff3b3aa125039696e5803e97e59e0361c
HBASE-5081,https://issues.apache.org/jira/browse/HBASE-5081,Distributed log splitting deleteNode races against splitLog retry ,Closed,Major,"['0.92.0', '0.94.0']",21/Dec/11 03:50,5,ff3cf1ae; 7569cea5; 6c97552e; fa979eba; 72c1f6c8,https://github.com/apache/hbase/commit/ff3cf1aedab8249b10140274984c9ae02369502d; https://github.com/apache/hbase/commit/7569cea558f3804045d28bd73fb8b316cf8affc7; https://github.com/apache/hbase/commit/6c97552ee1f6bc3efed7bb89facdce94da6ec461; https://github.com/apache/hbase/commit/fa979ebab265e56f82081e811c0b203f589b893c; https://github.com/apache/hbase/commit/72c1f6c8c75091f2fa09cd0665b34462c6e986a3
HBASE-4388,https://issues.apache.org/jira/browse/HBASE-4388,Second start after migration from 90 to trunk crashes,Closed,Blocker,['0.92.0'],13/Sep/11 19:30,4,c09b2f5f; 421ae850; 73258b05; 8b508d34,https://github.com/apache/hbase/commit/c09b2f5f5d4d7101b07134e557826f526e178f2a; https://github.com/apache/hbase/commit/421ae8504cb11cdb98803b3e4f3d19dbae914759; https://github.com/apache/hbase/commit/73258b05e58653e5236dcbd4937f9afc91813f5e; https://github.com/apache/hbase/commit/8b508d34aac0aad491030da28ad8a38c953dac43
HBASE-4301,https://issues.apache.org/jira/browse/HBASE-4301,META migration from 0.90 to trunk fails,Closed,Blocker,['0.92.0'],30/Aug/11 19:49,2,b723bc4d; f773be0e,https://github.com/apache/hbase/commit/b723bc4d4de2da504977bab8bb2c05976a3f2e47; https://github.com/apache/hbase/commit/f773be0e9fe650354ffa368df64fc12e7d3d7011
HBASE-4095,https://issues.apache.org/jira/browse/HBASE-4095,Hlog may not be rolled in a long time if checkLowReplication's request of LogRoll is blocked,Closed,Major,['0.90.3'],14/Jul/11 11:55,5,4c797e7b; 399462d5; 77b2ebb5; b6fc5b0b; 70d8db36,https://github.com/apache/hbase/commit/4c797e7ba95360e0b09ae0d256fa6ae91de8f853; https://github.com/apache/hbase/commit/399462d5d7467ffe6938afa3cf4cbd8b0e7f7d25; https://github.com/apache/hbase/commit/77b2ebb5305002db356d8e011bea5cdd69f3da4e; https://github.com/apache/hbase/commit/b6fc5b0b8071d9e3978afa43b6813b9cd8a36635; https://github.com/apache/hbase/commit/70d8db3673d282dcf87927ee00d5850a789a07eb
HBASE-3985,https://issues.apache.org/jira/browse/HBASE-3985,Same Region could be picked out twice in LoadBalancer,Closed,Major,['0.90.3'],14/Jun/11 00:50,3,0f15fcac; fd972327; 06f55dc0,https://github.com/apache/hbase/commit/0f15fcac46b9ffb520ca81e736f855bde2731e6f; https://github.com/apache/hbase/commit/fd972327b2b626a7033c268c95dd1efd70857147; https://github.com/apache/hbase/commit/06f55dc08f4048a8923724e073a7412ff987644a
HBASE-3867,https://issues.apache.org/jira/browse/HBASE-3867,"when cluster is stopped and server which hosted meta region is removed from cluster, master breaks down after restarting cluster.",Closed,Critical,"['0.90.1', '0.90.2']",09/May/11 02:24,4,fef61820; d9e22449; 4a8fb6b3; b7b2b36a,https://github.com/apache/hbase/commit/fef618201ffa210cbfc7bf40246e08850fd2249c; https://github.com/apache/hbase/commit/d9e2244958ecfa51740e5bd5b79cb772808dc5d5; https://github.com/apache/hbase/commit/4a8fb6b3fee1f43ea4330445f1bf5be5d0a368d1; https://github.com/apache/hbase/commit/b7b2b36ae75fee53a3980b132d793a43f75e5dcd
HBASE-3403,https://issues.apache.org/jira/browse/HBASE-3403,Region orphaned after failure during split,Closed,Blocker,['0.90.0'],30/Dec/10 22:54,4,0d31ac5f; a2475d4e; f9a97da9; 241071f9,https://github.com/apache/hbase/commit/0d31ac5f37a2e8866884bb216a3485eea652a822; https://github.com/apache/hbase/commit/a2475d4e2a96f8f3a3bb02d87f43e1cc0bb7cf78; https://github.com/apache/hbase/commit/f9a97da9dac683cf30f3bd9824ebe43d3b5c22a8; https://github.com/apache/hbase/commit/241071f9d6baed35d261ad7cd9ae886edc49eede
HBASE-3343,https://issues.apache.org/jira/browse/HBASE-3343,Server not shutting down after losing log lease,Closed,Critical,['0.90.0'],13/Dec/10 19:48,3,8f67476c; 5c6f0bcc; 2f33d6d4,https://github.com/apache/hbase/commit/8f67476c533a9d06f3f9e3d53d0618a8e525b42d; https://github.com/apache/hbase/commit/5c6f0bccd7ef76c057e2b8ba534f6632906bf2f6; https://github.com/apache/hbase/commit/2f33d6d43682c34198ce090feca54a9f7bed1c26
