Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
ZOOKEEPER-1489,https://issues.apache.org/jira/browse/ZOOKEEPER-1489,Data loss after truncate on transaction log,Resolved,Blocker,"['3.3.5', '3.4.3']",18/Jun/12 09:09,3,43eedab1; 17a97240; ca4b3f35,https://github.com/apache/zookeeper/commit/43eedab16b074f7b87da98ac0af60092bb0c52fd; https://github.com/apache/zookeeper/commit/17a972402d9401ac7e0a5c8d4c8cc923734db07b; https://github.com/apache/zookeeper/commit/ca4b3f356af910b225d3a739bd9393c7663b2693
ZOOKEEPER-1319,https://issues.apache.org/jira/browse/ZOOKEEPER-1319,Missing data after restarting+expanding a cluster,Closed,Blocker,['3.4.0'],06/Dec/11 03:06,2,22e2d238; 09112fa1,https://github.com/apache/zookeeper/commit/22e2d238cdae7ff77ae69bcad3876d2f0fd3dd84; https://github.com/apache/zookeeper/commit/09112fa12a462ea0be8a1637c1db60615f40002f
ZOOKEEPER-1264,https://issues.apache.org/jira/browse/ZOOKEEPER-1264,FollowerResyncConcurrencyTest failing intermittently,Closed,Blocker,"['3.3.3', '3.4.0', '3.5.0']",28/Oct/11 04:23,5,f8f15de5; 3994a2aa; a3fca96f; 41ec40fb; d00f43a1,https://github.com/apache/zookeeper/commit/f8f15de5fe447409a2987262b8e878be224dab25; https://github.com/apache/zookeeper/commit/3994a2aa08ef1f5b7de7da9ebcbe61554dac07e4; https://github.com/apache/zookeeper/commit/a3fca96fe96fed29a29ba3bd63a2f009cbbacad1; https://github.com/apache/zookeeper/commit/41ec40fb9b16fe7c63f62b5095ff959b4973bc05; https://github.com/apache/zookeeper/commit/d00f43a19bd42060ee2375ffbcab4653f6927778
ZOOKEEPER-880,https://issues.apache.org/jira/browse/ZOOKEEPER-880,QuorumCnxManager$SendWorker grows without bounds,Closed,Blocker,['3.4.0'],27/Sep/10 23:40,3,858e308a; 7071d276; b49a7937,https://github.com/apache/zookeeper/commit/858e308a70a831bcd6e131bae7d72449ec8ee7f8; https://github.com/apache/zookeeper/commit/7071d276d8f06bdcd91a68f73bda9f8e1a0c3dbf; https://github.com/apache/zookeeper/commit/b49a7937ab83260f39b4bbbfc17928f36c1b567b
ZOOKEEPER-822,https://issues.apache.org/jira/browse/ZOOKEEPER-822,Leader election taking a long time  to complete,Closed,Blocker,['3.3.0'],19/Jul/10 15:51,2,47204829; f427447d,https://github.com/apache/zookeeper/commit/472048297814559b81251dcca98ee662ea09f14d; https://github.com/apache/zookeeper/commit/f427447d7bec5d05d10b91310bbb2d1e63cd2c6b
ZOOKEEPER-790,https://issues.apache.org/jira/browse/ZOOKEEPER-790,Last processed zxid set prematurely while establishing leadership,Closed,Blocker,['3.3.1'],22/Jun/10 16:47,4,2678baf5; debd8a03; d18f0295; 10a1f58b,https://github.com/apache/zookeeper/commit/2678baf5c1e0789d3acead9e91ac7f64e70d7e48; https://github.com/apache/zookeeper/commit/debd8a0368f8c81af33691c9d402990bb0976fd5; https://github.com/apache/zookeeper/commit/d18f02955db4644aeec2ba06e13e6917e06ca5fc; https://github.com/apache/zookeeper/commit/10a1f58bf11e6fe5ef5dfd6da1522430e2524bae
ZOOKEEPER-710,https://issues.apache.org/jira/browse/ZOOKEEPER-710,permanent ZSESSIONMOVED error after client app reconnects to zookeeper cluster,Closed,Blocker,['3.2.2'],18/Mar/10 11:39,2,11ff2ef5; b1c614b2,https://github.com/apache/zookeeper/commit/11ff2ef50de57ef8f888586a2806c40c056112ea; https://github.com/apache/zookeeper/commit/b1c614b2ca982b2e029d11605717846af790870f
ZOOKEEPER-512,https://issues.apache.org/jira/browse/ZOOKEEPER-512,FLE election fails to elect leader,Closed,Blocker,['3.2.0'],20/Aug/09 00:11,1,c472d685,https://github.com/apache/zookeeper/commit/c472d685e02ced4448054b3d8a83a1b669dee58e
ZOOKEEPER-498,https://issues.apache.org/jira/browse/ZOOKEEPER-498,Unending Leader Elections : WAN configuration,Closed,Critical,['3.2.0'],04/Aug/09 21:18,2,8b22eb1e; 5784f3af,https://github.com/apache/zookeeper/commit/8b22eb1e4b8bfe4be08a766a98f636149e62fb28; https://github.com/apache/zookeeper/commit/5784f3af3d6e5958d8429dfaccc9ed780df9b951
ZOOKEEPER-483,https://issues.apache.org/jira/browse/ZOOKEEPER-483,"ZK fataled on me, and ugly",Closed,Major,['3.1.1'],23/Jul/09 20:40,2,a45c0e1b; b12aad63,https://github.com/apache/zookeeper/commit/a45c0e1b11ef8791778512ea23eebe21211f393d; https://github.com/apache/zookeeper/commit/b12aad6381345396ad68be2c4c9df778883bd203
ZOOKEEPER-427,https://issues.apache.org/jira/browse/ZOOKEEPER-427,ZooKeeper server unexpectedly high CPU utilisation,Closed,Blocker,['3.1.1'],02/Jun/09 21:01,1,d41b671b,https://github.com/apache/zookeeper/commit/d41b671bd683600267b68df69beec38f681a189e
ZOOKEEPER-335,https://issues.apache.org/jira/browse/ZOOKEEPER-335,zookeeper servers should commit the new leader txn to their logs.,Closed,Blocker,['3.1.0'],04/Mar/09 18:55,1,776db780,https://github.com/apache/zookeeper/commit/776db7808e27624aa125f1314b7fbb2196837507
